"state","gDPGrowth2021To22","gDPGrowth2020To21","gDPGrowth2019To20","gDPGrowth2018To19"
"Idaho",4.9,5.8,-1.1,2.8
"Tennessee",4.3,8.6,-4.9,2.2
"Florida",4,6.9,-2.9,2.8
"Nevada",3.7,7.1,-4.6,2.9
"Texas",3.4,5.6,-3.5,4.4
"Colorado",3.2,5.8,-1.5,3.5
"New York",3.2,5,-5.9,1.8
"North Carolina",3.2,6.7,-2.5,2.3
"Oregon",3,5.4,-2.8,2.7
"Georgia",2.8,5.8,-2.5,2
"Vermont",2.8,3.5,-5.4,2.5
"Utah",2.7,6.7,-0.1,3.8
"Arkansas",2.6,5,-2.6,1.8
"New Jersey",2.6,4.9,-4.1,1.5
"Arizona",2.5,5.3,-0.9,3.1
"Connecticut",2.4,4.2,-4.1,1.6
"South Carolina",2.4,5.9,-4.1,3
"Illinois",2.3,5,-4,1.6
"Delaware",2.1,3.7,-3.9,0.8
"Pennsylvania",2.1,4.4,-4.4,2.3
"Massachusetts",2,6.4,-3.8,2.5
"Indiana",1.9,6.9,-3.1,0.8
"Kentucky",1.8,4.7,-3.7,1.1
"Maine",1.8,5.2,-4.1,1.9
"Michigan",1.8,6.2,-5.4,0.7
"Missouri",1.7,4.6,-3.6,2.1
"Wisconsin",1.7,3.8,-4.5,1.4
"Alabama",1.6,4.1,-2.7,2.3
"Kansas",1.6,3.8,-3,0.9
"Montana",1.6,6.7,-3,2.1
"Ohio",1.5,4.3,-4,1.7
"Rhode Island",1.5,5.5,-4.5,2.7
"Virginia",1.5,4,-2.5,1.9
"Hawaii",1.2,4.6,-8,1
"Minnesota",1.2,5.7,-3.7,1.4
"Washington",1.2,6.7,-0.7,3.8
"Nebraska",1.1,5.3,-2.1,0.6
"New Mexico",1.1,2.5,-3.1,3.7
"South Dakota",0.5,4.9,-1.7,0.7
"California",0.4,7.8,-2.8,2.6
"West Virginia",0.4,4,-5.5,1
"Mississippi",0.2,4.4,-2.8,1.3
"Wyoming",-0.1,1.1,-7,3.3
"Oklahoma",-1,2.2,-6.1,2.4
"North Dakota",-1.3,2.1,-3.5,2.3
"Iowa",-1.5,6.4,-2.3,0.9
"Louisiana",-1.8,2.4,-5.5,1.3
"Alaska",-2.4,0.3,-4.9,2.5
