State,PropertyTaxes_Rank,Landlord_Insurance_Rank,Average_Vacancy_Rank,COL&Crime_Rank,1% Rule_Rank,GDP+Pop_Growth_Rank,Final Rank
Delaware,6.0,7.0,5.0,25.0,3.0,20.0,66.0
Idaho,21.0,3.0,8.0,4.0,50.0,1.0,87.0
Nevada,15.0,4.0,26.5,24.0,29.0,4.0,102.5
Vermont,45.0,11.0,4.0,6.0,30.0,11.0,107.0
Kentucky,9.0,26.0,14.0,19.0,15.0,25.0,108.0
Michigan,32.0,14.0,25.0,10.0,2.0,26.0,109.0
Pennsylvania,34.0,12.0,21.5,17.0,5.0,21.0,110.5
Ohio,29.0,8.0,21.5,22.0,6.0,34.0,120.5
Wisconsin,40.0,5.0,16.0,12.0,23.0,28.0,124.0
Maine,39.0,10.0,9.0,2.0,40.0,24.0,124.0
New Hampshire,49.0,16.5,13.0,1.0,32.0,16.0,127.5
Virginia,25.0,19.0,19.0,8.0,26.0,33.0,130.0
Indiana,10.0,20.0,49.0,20.0,11.0,23.0,133.0
Connecticut,48.0,37.0,3.0,13.0,17.0,18.0,136.0
Utah,23.0,2.0,15.0,39.0,48.0,12.0,139.0
Arkansas,3.0,6.0,50.0,46.0,22.0,13.0,140.0
Illinois,43.0,23.5,39.0,15.0,1.0,19.0,140.5
Oregon,37.0,1.0,10.5,42.0,42.0,9.0,141.5
Wyoming,4.0,27.0,36.0,14.0,16.0,46.0,143.0
Maryland,36.0,21.0,24.0,16.0,8.0,41.0,146.0
Arizona,18.0,16.5,29.0,37.0,33.0,15.0,148.5
North Carolina,20.0,23.5,30.0,35.0,34.0,6.0,148.5
West Virginia,5.0,13.0,44.0,9.0,38.0,44.0,153.0
Florida,27.0,46.0,37.0,21.0,19.0,3.0,153.0
Iowa,26.0,16.5,40.0,18.0,4.0,49.0,153.5
Georgia,24.0,33.0,33.0,26.0,28.0,10.0,154.0
Massachusetts,47.0,38.0,1.0,3.0,45.0,22.0,156.0
Montana,22.0,29.0,2.0,31.0,47.0,30.0,161.0
Missouri,14.0,34.0,34.0,41.0,10.0,29.0,162.0
Tennessee,16.0,28.0,38.0,43.0,39.0,2.0,166.0
Colorado,19.0,41.0,10.5,48.0,41.0,7.0,166.5
Alabama,1.0,36.0,45.0,32.0,27.0,31.0,172.0
Alaska,35.0,16.5,23.0,40.0,12.0,51.0,177.5
Nebraska,38.0,39.0,20.0,23.0,21.0,39.0,180.0
South Carolina,8.0,31.0,41.0,47.0,36.0,17.0,180.0
Hawaii,7.0,25.0,31.0,38.0,43.0,38.0,182.0
North Dakota,13.0,32.0,51.0,30.0,9.0,48.0,183.0
Minnesota,30.0,35.0,35.0,29.0,20.0,37.0,186.0
Louisiana,2.0,47.0,32.0,49.0,7.0,50.0,187.0
South Dakota,31.0,30.0,26.5,27.0,31.0,42.0,187.5
Texas,44.0,45.0,42.0,36.0,18.0,5.0,190.0
Rhode Island,46.0,43.0,17.0,7.0,44.0,35.0,192.0
Mississippi,11.0,40.0,46.0,28.0,24.0,45.0,194.0
California,41.0,22.0,7.0,33.0,49.0,43.0,195.0
Washington,42.0,9.0,18.0,44.0,46.0,36.0,195.0
Kansas,33.0,42.0,47.0,34.0,14.0,32.0,202.0
Oklahoma,12.0,44.0,48.0,45.0,13.0,47.0,209.0
New Jersey,50.0,,6.0,5.0,25.0,14.0,
New York,51.0,,12.0,11.0,51.0,8.0,
New Mexico,17.0,,28.0,50.0,35.0,40.0,
District of Columbia,28.0,,43.0,51.0,37.0,27.0,
